2023-10-29 20:38:46,601 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583126, Kline_1s timestep: 1698583126
2023-10-29 20:38:47,604 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583127, Kline_1s timestep: 1698583127
2023-10-29 20:38:48,600 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583128, Kline_1s timestep: 1698583128
2023-10-29 20:38:49,596 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583129, Kline_1s timestep: 1698583129
2023-10-29 20:38:50,599 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583130, Kline_1s timestep: 1698583130
2023-10-29 20:38:51,598 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583131, Kline_1s timestep: 1698583131
2023-10-29 20:38:52,599 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583132, Kline_1s timestep: 1698583132
2023-10-29 20:38:53,598 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583133, Kline_1s timestep: 1698583133
2023-10-29 20:38:54,637 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583134, Kline_1s timestep: 1698583134
2023-10-29 20:38:56,598 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583136, Kline_1s timestep: 1698583136
2023-10-29 20:38:57,593 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583137, Kline_1s timestep: 1698583137
2023-10-29 20:38:58,596 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583138, Kline_1s timestep: 1698583138
2023-10-29 20:38:59,594 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583139, Kline_1s timestep: 1698583139
2023-10-29 20:39:00,596 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583140, Kline_1s timestep: 1698583140
2023-10-29 20:39:01,602 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583141, Kline_1s timestep: 1698583141
2023-10-29 20:39:02,634 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583142, Kline_1s timestep: 1698583142
